date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:13:26	18205/18205	---M--	200	added ('OK')	text/html	date:Mon,%2026%20Feb%202018%2008:43:26%20GMT	https://the-wall-cricket.herokuapp.com/Scorecard/2	the-wall-cricket.herokuapp.com/Scorecard/2.html	(from https://the-wall-cricket.herokuapp.com/)
14:13:32	9975/9975	---M--	200	added ('OK')	text/html	date:Mon,%2026%20Feb%202018%2008:43:32%20GMT	https://the-wall-cricket.herokuapp.com/Commentary/2	the-wall-cricket.herokuapp.com/Commentary/2.html	(from https://the-wall-cricket.herokuapp.com/)
14:13:37	18080/18080	---M--	200	added ('OK')	text/html	date:Mon,%2026%20Feb%202018%2008:43:36%20GMT	https://the-wall-cricket.herokuapp.com/Scorecard/3	the-wall-cricket.herokuapp.com/Scorecard/3.html	(from https://the-wall-cricket.herokuapp.com/)
14:13:44	9044/9044	---M--	200	added ('OK')	text/html	date:Mon,%2026%20Feb%202018%2008:43:44%20GMT	https://the-wall-cricket.herokuapp.com/Commentary/3	the-wall-cricket.herokuapp.com/Commentary/3.html	(from https://the-wall-cricket.herokuapp.com/)
14:13:44	1652/1652	---M--	200	added ('OK')	image/png	etag:%221519575786.0-1652-2128480586%22	https://the-wall-cricket.herokuapp.com/static/images/IND.png	the-wall-cricket.herokuapp.com/static/images/IND.png	(from https://the-wall-cricket.herokuapp.com/)
14:13:45	3761/3761	---M--	200	added ('OK')	image/png	etag:%221519575786.0-3761-2133592405%22	https://the-wall-cricket.herokuapp.com/static/images/RSA.png	the-wall-cricket.herokuapp.com/static/images/RSA.png	(from https://the-wall-cricket.herokuapp.com/)
14:13:45	3586/3586	---M--	200	added ('OK')	image/png	etag:%221519575786.0-3586-2132478296%22	https://the-wall-cricket.herokuapp.com/static/images/AUS.png	the-wall-cricket.herokuapp.com/static/images/AUS.png	(from https://the-wall-cricket.herokuapp.com/)
14:13:45	2819/2819	---M--	200	added ('OK')	image/png	etag:%221519575786.0-2819-2128873803%22	https://the-wall-cricket.herokuapp.com/static/images/PAK.png	the-wall-cricket.herokuapp.com/static/images/PAK.png	(from https://the-wall-cricket.herokuapp.com/)
14:13:46	2412/2412	---M--	200	added ('OK')	image/png	etag:%221519575786.0-2412-2123434304%22	https://the-wall-cricket.herokuapp.com/static/images/BAN.png	the-wall-cricket.herokuapp.com/static/images/BAN.png	(from https://the-wall-cricket.herokuapp.com/)
14:13:47	5095/5095	---M--	200	added ('OK')	image/png	etag:%221519575786.0-5095-1982400782%22	https://the-wall-cricket.herokuapp.com/static/images/SL.png	the-wall-cricket.herokuapp.com/static/images/SL.png	(from https://the-wall-cricket.herokuapp.com/)
14:13:47	5285/5285	---M--	200	added ('OK')	image/png	etag:%221519575786.0-5285-1982990607%22	https://the-wall-cricket.herokuapp.com/static/images/WI.png	the-wall-cricket.herokuapp.com/static/images/WI.png	(from https://the-wall-cricket.herokuapp.com/)
